id,gid,x,y,dir_x,dir_y,radius,time
8,0,70.760925,-180.641449,0.274157,0.286410,2.000000,45.250000
9,0,171.143829,-108.672569,0.109395,0.027560,2.000000,45.250000
0,0,208.783997,9.762753,0.231145,0.247191,2.000000,45.500000
1,0,170.887863,125.924171,0.327529,0.223593,2.000000,45.500000
2,0,70.827217,198.872986,0.277653,0.065274,2.000000,45.500000
3,0,-52.156506,199.303406,0.375247,0.288193,2.000000,45.500000
4,0,-151.922012,126.517677,0.267694,0.308395,2.000000,45.500000
5,0,-190.048508,9.466739,0.124804,0.241001,2.000000,45.500000
6,0,-152.911743,-108.337013,0.227727,0.323802,2.000000,45.500000
7,0,-52.802158,-180.605896,0.109286,0.359634,2.000000,45.500000
8,0,70.834328,-180.586853,0.293607,0.218413,2.000000,45.500000
9,0,171.225357,-108.647102,0.326084,0.101867,2.000000,45.500000
0,0,208.791428,9.800247,0.029699,0.149975,2.000000,45.750000
1,0,170.971329,125.933273,0.333834,0.036418,2.000000,45.750000
2,0,70.836243,198.905762,0.036105,0.131098,2.000000,45.750000
3,0,-52.107868,199.330673,0.194542,0.109054,2.000000,45.750000
4,0,-151.852386,126.589699,0.278525,0.288095,2.000000,45.750000
5,0,-190.005295,9.492729,0.172875,0.103961,2.000000,45.750000
6,0,-152.902740,-108.295021,0.036036,0.167963,2.000000,45.750000
7,0,-52.774296,-180.595200,0.111447,0.042805,2.000000,45.750000
8,0,70.860329,-180.514694,0.104017,0.288605,2.000000,45.750000
9,0,171.307510,-108.642174,0.328594,0.019707,2.000000,45.750000
0,0,208.868713,9.808059,0.309133,0.031246,2.000000,46.000000
1,0,170.989136,126.010933,0.071202,0.310638,2.000000,46.000000
2,0,70.864723,198.972275,0.113915,0.266045,2.000000,46.000000
3,0,-52.018539,199.332504,0.357314,0.007301,2.000000,46.000000
4,0,-151.816895,126.610542,0.141950,0.083381,2.000000,46.000000
5,0,-189.926788,9.535048,0.314004,0.169272,2.000000,46.000000
6,0,-152.899734,-108.277687,0.012014,0.069330,2.000000,46.000000
7,0,-52.713852,-180.510498,0.241772,0.338816,2.000000,46.000000
8,0,70.949944,-180.426315,0.358465,0.353543,2.000000,46.000000
9,0,171.390091,-108.625549,0.330293,0.066504,2.000000,46.000000
0,0,208.963882,9.892043,0.380663,0.335937,2.000000,46.250000
